Which of the following statements will initialize an array correctly? Select all that apply.|int[] positiveNumber = {1,2,3,4,5};$int[] positiveNumber =new int[]{1,2,3,4,5};
Which of the following is not a method of the ArrayList class?|append()
What happens when an ArrayList in Java exceeds its current capacity?|It creates a new array that doubles the size and copies the elements.
What are the advantages of using an ArrayList over an array?|The size of an ArrayList is dynamic
True or false: In a linked list, the size of the list must be specified at the time of creation.|False
Which of the following is not a queue operation?|pop
What will be the output when the following Java code is executed? 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 import java.util.ArrayList; class Stack { private int[] arr; int top; Stack(int size) { arr = new int[size]; top = -1; } public void push(int val) { top++; arr[top] = val; } public int pop() { int val = arr[top]; top--; return val; } } public class Main { public static void main(String[] args) { Stack stack = new Stack(5); stack.push(10); stack.pop(); stack.push(20); stack.push(30); System.out.println("Popped Element = " + stack.pop()); } }|popped Element = 30
Given the following Java class that implements a linked list: 1 2 3 4 5 6 7 8 9 class List { int data; List next; List(int data) { this.data = data; this.next = null; } } Consider the following statements: 1 2 3 4 5 List head = new List(10); head.next = new List(20); head.next.next = new List(30); head.next = head.next.next; After these statements are executed, which nodes will the linked list contain?|10 30
Given the array declaration int[] arr = new int[5];, which of the following is the correct way to populate the array?|Arrays.fill(arr, [1,2,3,4,5]);
In an array-based queue implementation, what happens when the rear pointer reaches the end of the array?|The rear pointer wraps around to the front if there is available space
Consider the following code segment: 1 2 3 ArrayList<String> newList = new ArrayList<String>(); newList.add(100); What will happen when this code is executed?|This would cause a compile-time error
Which method is used to add an element to an ArrayList in Java?|add()
Given the following class declaration for a doubly linked list: 1 2 3 4 5 6 7 8 9 10 11 public class DLList { int data; DLList prev; DLList next; public DLList(int data) { // constructor } } Which of the following correctly defines the constructor?|1 2 3 4 5 6 public DLList(int data) { this.data = data; this.prev = null; this.next = null; }
In a 32-bit JVM, how many additional bytes of memory does a node in a doubly linked list require compared to a node in a singly linked list?|4 bytes
Which of the following terms are commonly used in both stacks and queues?|peek
True or false: In a queue, new elements are always added to the rear (end) of the structure.|True
In a queue data structure, what does the dequeue operation do?|Removes the element at the front of the queue
You have an array of integers with 10 elements. How would you access the fifth element in the array?|arr[4]
True or false: Operating systems use the queue data structure to manage the printer spooling mechanism.|True
Consider the following array int[] arr = {11,2,35,4,58};. What is the index of the number 11 in this array?|0
Which of the following is the correct syntax for declaring an ArrayList?|ArrayList<String> stringList = new ArrayList<String>();
Which method removes elements from an ArrayList in Java? Select all that apply.|clear()$remove(Object o)$remove(int index)
Which of the following is a characteristic of a doubly linked list?|Each node points to both the next node and the previous node
