If total = 50, what is the new value of total after total += 10?|60
Select the correct output for the following code: 1 2 3 4 5 6 7 public class Main { public static void main(String[] args) { int num = 10; boolean result = num == 10; System.out.println(result); } }|true
Alex is writing a program to store user information. How would he declare an integer variable named age and initialize it to 20?|int age = 20;
Andrea is working on a text processing application and needs to extract a specific part of a String. What method would she use to extract the substring "Dark" from the String sentence = "The Dark Web"?|sentence.substring(4, 8)
Imagine you are writing a welcome message for a user in an application. Which code snippet would you use to combine the Strings greeting = "Hello" and name = "Alice" with a comma and a space in between?|greeting + ", " + name
You are developing a Java program to perform basic arithmetic and write a snippet to divide two numbers. However, the output is not what you expected. What is wrong with the following code snippet? 1 2 int result = 5 / 2; System.out.println(result);|The variable result should be a double.
Which data type is used to store whole numbers in Java?|int
The logical NOT operator is denoted by ________ in Java.|!
Select the correct output for the following code: 1 2 3 4 5 6 public class Main { public static void main(String[] args) { int remainder = 9 % 4; System.out.println(remainder); } }|1
True or False: A String object in Java can be modified directly after it is created.|False
If score = 6, what is the new value of score after score *= 3?|18
Select the correct output for the following code: 1 2 3 4 5 6 7 public class Main { public static void main(String[] args) { int num = 20; boolean result = num != 15; System.out.println(result); } }|true
In a new application you are developing, you need to convert all Strings to uppercase to maintain formatting consistency. What method would you use to convert the String word = "awesome" to uppercase?|word.toUpperCase()
Imagine you are developing a contact management program in Java. You need to display the full name of a contact by combining the first and last names. How would you concatenate the Strings firstName = "Sachin" and lastName = "Smith" and add a space in between?|firstName + " " + lastName
Salma is writing a Java program to store a greeting message. She encounters an error with the following line of code and needs to identify what is wrong. What is the problem with the following code snippet? String greeting = Hello;|The value Hello should be enclosed in double quotes.
Which data type is used to store decimal numbers in Java?|double
To represent a logical OR operation in Java, use ________.|||
Select the correct output for the following code: 1 2 3 4 5 6 public class Main { public static void main(String[] args) { int remainder = 14 % 5; System.out.println(remainder); } }|4
If count = 30, what is the new value of count after count -= 5?|25
Select the correct output for the following code: 1 2 3 4 5 6 7 8 public class Main { public static void main(String[] args) { int num1 = 5; int num2 = 5; boolean result = num1 >= num2; System.out.println(result); } }|true
Lee is creating a scheduling application where she needs to display the day and time of an event in a readable format. How can she concatenate the Strings day = "Monday" and time = "Morning" with the word "and" in between?|day + " and " + time
Tom is debugging his Java program and comes across a line of code that is causing an error. What is wrong with the following code snippet that Tom identifies? int number = 10.5;|The variable type int cannot hold decimal values.
In Java, Strings are mutable, meaning they can be changed after creation.|False
Anwar is writing a program to manage user profiles. He needs to declare a boolean variable to indicate whether a user is a student. How would Anwar declare a boolean variable named isStudent and initialize it to true?|boolean isStudent = true;
Select the correct output for the following code: 1 2 3 4 5 6 public class Main { public static void main(String[] args) { int remainder = 22 % 6; System.out.println(remainder); } }|4
The symbol for the logical AND operator in Java is ________|&&
Which of the following is a valid variable name?|my_variable
